Object,Date,Distance,Width,SigmaImpact,SigmaLOV,StretchLOV,ImpactProbability,ImpactEnergy,PalermoScale,TorinoScale
2015FL290,2082-04-26.81,0.72,3.07e-02,0.000,-1.06752,4.28e+05,7.3e-07,9.71e+01,-4.85,0
2015FL290,2085-04-26.36,0.46,3.48e-02,0.000,-1.03916,1.27e+05,3.2e-06,9.76e+01,-4.22,0
2015DA54,2107-07-30.16,0.21,1.51e-02,0.000,2.51439,6.99e+05,4.7e-08,1.32e+03,-5.27,0
2015FQ332,2082-03-11.73,0.73,1.00e-01,0.000,-1.76491,4.64e+04,2.4e-06,7.38e-01,-6.03,0
2015FQ332,2082-03-11.78,0.14,1.02e-01,0.000,-1.78833,3.32e+05,4.8e-07,7.38e-01,-6.73,0
2015FQ332,2084-03-11.42,0.08,8.14e-02,0.000,-2.26719,1.14e+04,5.3e-06,7.27e-01,-5.70,0
2015FQ332,2084-03-11.43,0.59,8.83e-02,0.000,-2.27450,1.38e+04,3.5e-06,7.27e-01,-5.88,0
2015FQ332,2089-03-11.88,0.77,1.07e-01,0.000,-2.12478,4.85e+04,1.0e-06,7.29e-01,-6.44,0
2015FQ332,2093-03-11.72,0.89,7.41e-02,0.000,-3.05263,1.19e+06,2.6e-09,7.08e-01,-9.07,0
2015FQ332,2101-03-12.49,0.23,1.07e-01,0.000,-1.71861,1.05e+06,1.7e-07,7.39e-01,-7.29,0
2015FN36,2100-03-15.86,0.08,2.82e-02,0.000,2.24446,4.18e+05,1.5e-07,1.89e+01,-6.21,0
2015FN36,2100-03-15.86,0.14,3.29e-02,0.000,2.24979,8.58e+05,7.2e-08,1.89e+01,-6.53,0
2015FN36,2113-03-16.31,0.54,4.61e-02,0.000,0.03447,9.24e+05,7.3e-07,1.79e+01,-5.60,0
2015EO,2050-09-12.34,0.98,2.22e-02,0.000,-0.87580,4.18e+06,2.3e-08,2.14e-01,-8.20,0
2015EO,2052-09-11.86,0.15,1.70e-02,0.000,-3.69120,1.49e+04,5.8e-08,2.18e-01,-7.82,0
2015EO,2058-09-12.41,0.88,1.69e-02,0.000,-4.61439,1.82e+03,4.9e-09,2.19e-01,-8.95,0
2015EO,2062-09-12.42,0.44,1.79e-02,0.000,0.49484,1.79e+05,3.5e-06,2.12e-01,-6.14,0
2015EO,2070-09-12.43,0.89,6.29e-02,0.000,0.45284,7.74e+06,4.1e-08,2.12e-01,-8.15,0
2015EO,2074-09-12.37,0.92,1.61e-02,0.000,-0.76548,7.81e+04,2.9e-06,2.13e-01,-6.33,0
2015EO,2077-09-11.99,0.03,1.71e-02,0.000,2.28000,7.81e+05,7.6e-08,2.09e-01,-7.94,0
2015EO,2077-09-12.12,0.89,&lt;1.e-04,0.000,-0.76625,6.50e+06,4.2e-08,2.14e-01,-8.18,0
2015DD54,2114-03-07.24,0.12,6.78e-04,0.000,-2.29657,2.77e+04,2.1e-06,5.76e-01,-6.35,0
2015FQ,2109-09-29.34,0.63,&lt;1.e-04,0.000,-1.32981,1.13e+07,2.3e-08,1.52e+02,-6.35,0
2015ET,2076-03-08.09,0.74,8.51e-04,0.000,1.98709,9.13e+04,8.2e-07,1.61e-01,-6.98,0
2015ET,2079-03-08.69,0.03,1.20e-03,0.000,2.06805,1.33e+05,7.1e-07,1.61e-01,-7.07,0
2015ET,2079-03-08.93,0.90,3.93e-03,0.000,0.02790,7.19e+05,4.9e-07,1.61e-01,-7.23,0
2015ET,2102-03-09.98,0.89,5.56e-03,0.000,1.88997,8.32e+05,7.4e-08,1.59e-01,-8.19,0
2015ET,2108-03-09.30,0.95,&lt;1.e-04,0.000,1.97513,1.70e+05,2.0e-07,1.59e-01,-7.78,0
2015ET,2108-03-09.36,0.78,8.51e-04,0.000,1.96257,9.56e+04,7.6e-07,1.59e-01,-7.20,0
2015ET,2114-03-08.88,0.70,&lt;1.e-04,0.000,0.49245,9.47e+05,5.3e-07,1.57e-01,-7.39,0
2015ET,2114-03-09.19,0.21,&lt;1.e-04,0.000,-3.20628,5.43e+05,8.4e-09,1.57e-01,-9.19,0
2015ET,2114-03-09.22,0.43,7.86e-03,0.000,-1.82814,1.69e+06,8.0e-08,1.57e-01,-8.21,0
2015FF36,2073-05-21.40,0.41,2.19e-02,0.000,-0.72666,5.23e+05,1.1e-06,1.54e-01,-6.86,0
2015FF36,2112-05-28.16,0.34,3.40e-03,0.000,0.90192,1.29e+06,3.9e-07,1.59e-01,-7.51,0
2015FF36,2112-05-28.16,0.72,1.96e-03,0.000,0.90183,1.03e+06,3.6e-07,1.59e-01,-7.55,0
2015CL13,2090-02-15.66,0.71,&lt;1.e-04,0.000,-2.29331,1.15e+06,3.5e-08,7.89e-01,-7.89,0
2015CL13,2106-02-16.63,0.84,&lt;1.e-04,0.000,-1.82582,2.77e+06,3.0e-08,7.89e-01,-8.04,0
2015CL13,2106-02-16.64,0.88,3.90e-04,0.000,4.75432,3.25e+03,1.5e-09,7.80e-01,-9.34,0
2015EG,2115-03-06.01,0.70,&lt;1.e-04,0.000,1.47081,1.76e+06,1.1e-07,4.74e-01,-7.69,0
2015EG7,2093-03-23.20,0.85,3.07e-04,0.000,-3.89050,6.79e+03,3.2e-08,7.02e-02,-8.79,0
2015EG7,2093-03-23.32,0.04,3.88e-04,0.000,4.80581,1.29e+04,5.9e-10,6.98e-02,-10.50,0
2015EG7,2110-03-24.14,0.49,&lt;1.e-04,0.000,-3.40729,5.23e+05,4.0e-09,7.12e-02,-9.77,0
A410777,2185-03-29.75,0.42,&lt;1.e-04,0.000,1.048,1.60e+02,2.6e-03,3.70e+03,-0.44,(*)
A410777,2190-03-30.08,0.47,&lt;1.e-04,0.000,0.028,2.58e+03,2.7e-04,3.71e+03,-1.43,(*)
A410777,2191-03-30.24,0.32,&lt;1.e-04,0.000,0.993,2.09e+05,2.0e-06,3.70e+03,-3.57,(*)
A410777,2192-03-29.51,0.68,&lt;1.e-04,0.000,0.986,3.64e+05,1.0e-06,3.70e+03,-3.87,(*)
A410777,2196-03-29.44,0.62,&lt;1.e-04,0.000,0.864,4.96e+05,1.0e-06,3.70e+03,-3.88,(*)
A101955,2175-09-25.15,0.23,&lt;1.e-04,0.000,1.344,1.49e+04,4.1e-05,1.15e+03,-2.62,(*)
A101955,2175-09-25.16,0.45,&lt;1.e-04,0.000,1.051,1.18e+05,6.4e-06,1.15e+03,-3.43,(*)
A101955,2176-09-24.39,0.17,&lt;1.e-04,0.000,2.458,2.56e+04,3.1e-06,1.15e+03,-3.75,(*)
A101955,2180-09-24.36,0.19,&lt;1.e-04,0.000,0.894,9.67e+04,1.1e-05,1.15e+03,-3.19,(*)
